kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
ElemMul,9843699,1.557250e-02,1.604883e-04,1.655753e-02,8.108115e-04,0.941,0.632,0.595,3.949,4.198,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,12851065,2.063937e-02,8.066600e-04,2.122337e-02,6.367713e-04,0.972,0.623,0.606,4.009,4.122,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,16777215,2.848797e-02,1.119407e-03,2.848740e-02,1.543756e-03,1.000,0.589,0.589,4.238,4.238,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,768,8.666667e-07,5.773503e-08,3.666667e-07,1.154701e-07,2.364,2.658,6.284,2.817,1.192,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,1002,1.133333e-06,5.773503e-08,3.666667e-07,5.773503e-08,3.091,2.652,8.198,2.823,0.913,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,1308,1.400000e-06,0.000000e+00,4.666667e-07,5.773503e-08,3.000,2.803,8.409,2.672,0.891,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,1708,1.800000e-06,0.000000e+00,6.000000e-07,0.000000e+00,3.000,2.847,8.540,2.630,0.877,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,2230,2.400000e-06,0.000000e+00,9.000000e-07,0.000000e+00,2.667,2.788,7.433,2.686,1.007,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,2912,3.133333e-06,5.773503e-08,1.400000e-06,0.000000e+00,2.238,2.788,6.240,2.686,1.200,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,3802,4.066667e-06,5.773503e-08,1.800000e-06,0.000000e+00,2.259,2.805,6.337,2.670,1.182,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,4963,5.300000e-06,0.000000e+00,2.300000e-06,0.000000e+00,2.304,2.809,6.473,2.665,1.157,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,6480,6.866667e-06,5.773503e-08,2.933333e-06,5.773503e-08,2.341,2.831,6.627,2.645,1.130,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,8460,8.900000e-06,0.000000e+00,3.833333e-06,5.773503e-08,2.322,2.852,6.621,2.626,1.131,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,11045,1.160000e-05,0.000000e+00,5.000000e-06,0.000000e+00,2.320,2.856,6.627,2.621,1.130,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,14419,1.513333e-05,5.773503e-08,6.500000e-06,0.000000e+00,2.328,2.858,6.655,2.620,1.125,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,18824,1.980000e-05,0.000000e+00,8.666667e-06,5.773503e-08,2.285,2.852,6.516,2.625,1.149,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,24576,2.876667e-05,5.225259e-06,1.130000e-05,0.000000e+00,2.546,2.563,6.525,2.922,1.148,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,32084,3.613333e-05,4.474744e-06,1.670000e-05,3.377869e-06,2.164,2.664,5.764,2.811,1.299,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,41886,7.150000e-05,3.049738e-05,2.080000e-05,4.582576e-07,3.438,1.757,6.041,4.261,1.239,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,54683,6.433333e-05,8.707659e-06,5.173333e-05,3.418440e-05,1.244,2.550,3.171,2.936,2.361,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,71389,1.390000e-04,4.142692e-05,4.710000e-05,8.928606e-06,2.951,1.541,4.547,4.860,1.647,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,93199,1.123333e-04,2.058065e-05,5.970000e-05,4.750789e-06,1.882,2.489,4.683,3.008,1.599,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,121673,1.524000e-04,1.690355e-05,1.039667e-04,4.083091e-05,1.466,2.395,3.511,3.126,2.133,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,158846,2.098333e-04,3.645605e-05,1.297000e-04,1.228536e-05,1.618,2.271,3.674,3.297,2.038,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,207375,3.384003e-04,1.252014e-04,1.596667e-04,1.087443e-05,2.119,1.838,3.896,4.073,1.922,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,270731,3.467670e-04,5.341303e-05,2.641667e-04,7.032641e-05,1.313,2.342,3.075,3.197,2.435,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,353442,4.718333e-04,1.242331e-04,2.997667e-04,1.113168e-04,1.574,2.247,3.537,3.332,2.117,1,1e-05,1e-07,0.000e+00,0.000e+00
Stencil,461423,6.321000e-04,6.836073e-05,3.389000e-04,6.322626e-05,1.865,2.190,4.085,3.419,1.833,1,1e-05,1e-07,0.000e+00,0.000e+00
