kernel,N,runtime_scalar_mean,runtime_scalar_std,runtime_simd_mean,runtime_simd_std,speedup,gflops_scalar,gflops_simd,cpe_scalar,cpe_simd,validated,rtol,atol,abs_err,rel_err
Dot,270731,5.451667e-04,8.920187e-05,1.924667e-04,5.218049e-05,2.833,0.993,2.813,5.026,1.774,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,353442,6.347000e-04,1.874327e-05,2.083667e-04,1.824454e-05,3.046,1.114,3.393,4.482,1.471,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,461423,8.301000e-04,3.887454e-05,3.411333e-04,6.996866e-05,2.433,1.112,2.705,4.490,1.845,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,602393,1.115867e-03,5.096522e-05,3.692667e-04,1.994802e-05,3.022,1.080,3.263,4.624,1.530,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,786431,1.469867e-03,3.574777e-05,6.488667e-04,1.415668e-04,2.265,1.070,2.424,4.665,2.059,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1026696,2.073033e-03,1.948213e-04,7.745333e-04,1.193793e-04,2.676,0.991,2.651,5.040,1.883,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1340363,2.531200e-03,1.126385e-04,1.318733e-03,1.895794e-04,1.919,1.059,2.033,4.714,2.456,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,1749860,3.397000e-03,4.356650e-05,1.730233e-03,5.253288e-05,1.963,1.030,2.023,4.845,2.468,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,2284463,4.310500e-03,1.863464e-04,2.505000e-03,9.172061e-05,1.721,1.060,1.824,4.710,2.737,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,2982393,5.858000e-03,4.879013e-04,3.214367e-03,1.362863e-04,1.822,1.018,1.856,4.903,2.690,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,3893550,7.456400e-03,5.821621e-04,4.228667e-03,3.837669e-04,1.763,1.044,1.842,4.780,2.711,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,5083075,9.586933e-03,8.784397e-05,5.685933e-03,7.850494e-04,1.686,1.060,1.788,4.708,2.792,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,6636014,1.253207e-02,1.044610e-04,7.625433e-03,7.658734e-04,1.643,1.059,1.740,4.714,2.868,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,8663394,1.647500e-02,1.318760e-04,9.433233e-03,2.092197e-04,1.746,1.052,1.837,4.747,2.718,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,11310162,2.171880e-02,6.070092e-04,1.290807e-02,2.224407e-04,1.683,1.042,1.752,4.793,2.849,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,14765549,2.789950e-02,1.815078e-04,1.707067e-02,4.463755e-04,1.634,1.058,1.730,4.716,2.886,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,19276597,3.640967e-02,9.334101e-05,2.078117e-02,8.238948e-04,1.752,1.059,1.855,4.714,2.691,1,1e-05,1e-07,0.000e+00,0.000e+00
Dot,25165823,4.785480e-02,4.599616e-04,2.946283e-02,1.882718e-03,1.624,1.052,1.708,4.746,2.922,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,512,5.333333e-07,5.773503e-08,3.666667e-07,5.773503e-08,1.455,0.960,1.396,2.600,1.787,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,668,5.666667e-07,5.773503e-08,2.333333e-07,5.773503e-08,2.429,1.179,2.863,2.117,0.872,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,872,8.000000e-07,2.000000e-07,2.666667e-07,1.154701e-07,3.000,1.090,3.270,2.290,0.763,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1139,9.666667e-07,1.527525e-07,7.666667e-07,5.773503e-08,1.261,1.178,1.486,2.118,1.680,1,1e-05,1e-07,0.000e+00,0.000e+00
ElemMul,1487,1.133333e-06,1.154701e-07,5.333333e-07,2.309401e-07,2.125,1.312,2.788,1.902,0.895,1,1e-05,1e-07,0.000e+00,0.000e+00
