filter,workload,threads,qps,p50_us,p95_us,p99_us,seed
quotient,read_mostly,16,8.34137e+07,0.2,0.4,0.6,8
quotient,read_mostly,16,8.82474e+07,0.2,0.3,0.5,9
quotient,balanced,1,1.03083e+07,0.2,0.4,0.6,0
quotient,balanced,1,1.02813e+07,0.2,0.3,0.5,1
quotient,balanced,1,1.03397e+07,0.1,0.3,0.4,2
quotient,balanced,1,1.03612e+07,0.2,0.3,0.4,3
quotient,balanced,1,1.01766e+07,0.1,0.3,4,4
quotient,balanced,1,1.03514e+07,0.1,0.3,0.6,5
quotient,balanced,1,9.86291e+06,0.2,0.4,0.5,6
quotient,balanced,1,9.97317e+06,0.2,0.4,0.5,7
quotient,balanced,1,1.01924e+07,0.1,0.3,0.5,8
quotient,balanced,1,8.60026e+06,0.2,0.4,0.5,9
quotient,balanced,2,1.9003e+07,0.2,0.3,0.5,0
quotient,balanced,2,1.54115e+07,0.2,0.4,0.6,1
quotient,balanced,2,1.74585e+07,0.2,0.3,0.5,2
quotient,balanced,2,1.87843e+07,0.2,0.3,0.7,3
quotient,balanced,2,1.90738e+07,0.2,0.4,0.6,4
quotient,balanced,2,1.84782e+07,0.2,0.4,0.6,5
quotient,balanced,2,1.86742e+07,0.2,0.4,0.6,6
quotient,balanced,2,1.73066e+07,0.2,0.4,0.8,7
quotient,balanced,2,1.71021e+07,0.2,0.4,0.6,8
quotient,balanced,2,1.39186e+07,0.2,0.5,0.8,9
quotient,balanced,4,2.76843e+07,0.2,0.4,0.7,0
quotient,balanced,4,2.87036e+07,0.2,0.4,0.7,1
quotient,balanced,4,3.66614e+07,0.2,0.4,0.6,2
quotient,balanced,4,3.55906e+07,0.1,0.3,0.5,3
quotient,balanced,4,3.81033e+07,0.2,0.3,0.6,4
quotient,balanced,4,4.1049e+07,0.1,0.3,0.4,5
quotient,balanced,4,3.56981e+07,0.2,0.3,0.5,6
quotient,balanced,4,4.15603e+07,0.1,0.3,0.5,7
quotient,balanced,4,4.18288e+07,0.1,0.3,0.5,8
quotient,balanced,4,4.03503e+07,0.1,0.3,0.5,9
quotient,balanced,8,4.50734e+07,0.2,0.5,2,0
quotient,balanced,8,5.71187e+07,0.2,0.4,0.6,1
quotient,balanced,8,6.03219e+07,0.1,0.3,0.5,2
quotient,balanced,8,5.8391e+07,0.2,0.3,0.5,3
quotient,balanced,8,6.02476e+07,0.1,0.3,0.5,4
quotient,balanced,8,5.25036e+07,0.2,0.3,0.5,5
quotient,balanced,8,5.55778e+07,0.2,0.4,0.6,6
quotient,balanced,8,5.92078e+07,0.1,0.3,0.6,7
quotient,balanced,8,5.71633e+07,0.2,0.4,0.6,8
quotient,balanced,8,6.33146e+07,0.1,0.3,0.5,9
quotient,balanced,16,8.02444e+07,0.2,0.3,0.6,0
quotient,balanced,16,6.38843e+07,0.2,0.4,0.6,1
quotient,balanced,16,8.06995e+07,0.2,0.3,0.5,2
quotient,balanced,16,7.45942e+07,0.2,0.3,0.5,3
quotient,balanced,16,6.85883e+07,0.2,0.4,0.6,4
quotient,balanced,16,7.38858e+07,0.2,0.3,0.6,5
quotient,balanced,16,6.69074e+07,0.2,0.3,0.6,6
quotient,balanced,16,8.43033e+07,0.2,0.3,0.6,7
quotient,balanced,16,8.85525e+07,0.2,0.3,0.5,8
quotient,balanced,16,8.63336e+07,0.2,0.3,0.6,9
